Date,Holiday_name
2021-01-01,New Year Days
2021-01-02,New Year Days
2021-01-03,Pre-Christmas holidays
2021-01-04,Pre-Christmas holidays
2021-01-05,Pre-Christmas holidays
2021-01-06,Christmas Day
2021-01-07,The day of commemoration of all dead people after Christmas Day
2021-01-28,Army Day
2021-03-08,International Women's Holiday
2021-04-24,Armenian Genocide Remembrance Day
2021-05-01,International Workers' Day
2021-05-09,Victory and Peace Day
2021-05-28,Republic Day
2021-07-05,Constitution Day and Day of State Symbols
2021-09-21,Independence Day
2021-12-31,New Year Days
2022-01-01,New Year Days
2022-01-02,New Year Days
2022-01-06,Christmas Day
2022-01-28,Army Day
2022-03-08,International Women's Holiday
2022-04-24,Armenian Genocide Remembrance Day
2022-05-01,International Workers' Day
2022-05-09,Victory and Peace Day
2022-05-28,Republic Day
2022-07-05,Constitution Day and Day of State Symbols
2022-09-21,Independence Day
2022-12-31,New Year Days
2023-01-01,New Year Days
2023-01-02,New Year Days
2023-01-06,Christmas Day
2023-01-28,Army Day
2023-03-08,International Women's Holiday
2023-04-24,Armenian Genocide Remembrance Day
2023-05-01,International Workers' Day
2023-05-09,Victory and Peace Day
2023-05-28,Republic Day
2023-07-05,Constitution Day and Day of State Symbols
2023-09-21,Independence Day
2023-12-31,New Year Days
2024-01-01,New Year Days
2024-01-02,New Year Days
2024-01-06,Christmas Day
2024-01-28,Army Day
2024-03-08,International Women's Holiday
2024-04-24,Armenian Genocide Remembrance Day
2024-05-01,International Workers' Day
2024-05-09,Victory and Peace Day
2024-05-28,Republic Day
2024-07-05,Constitution Day and Day of State Symbols
2024-09-21,Independence Day
2024-12-31,New Year Days
