"Factor","Df","SumSq","MeanSq","Fvalue","Pr","Significance"
"product_type","199","3.7e+15","1.8e+13","4.1e+03"," 0.0e+00","***"
"Brand","284","2.0e+15","7.0e+12","1.2e+03"," 0.0e+00","***"
"manufacture_country"," 23","8.5e+14","3.7e+13","5.8e+03"," 0.0e+00","***"
"Branch"," 24","3.2e+13","1.3e+12","1.9e+02"," 0.0e+00","***"
"City"," 11","7.7e+12","7.0e+11","1.0e+02","3.3e-232","***"
"IsHoliday","  1","2.1e+11","2.1e+11","3.1e+01"," 2.5e-08","***"
"day_of_week","  1","5.1e+11","5.1e+11","7.3e+01"," 1.0e-17","***"
"week_of_year","  1","4.7e+08","4.7e+08","6.9e-02"," 7.9e-01",""
"is_weekend","  1","1.2e+07","1.2e+07","1.8e-03"," 9.7e-01",""
"quarter","  1","1.1e+10","1.1e+10","1.6e+00"," 2.0e-01",""
"year","  1","1.4e+10","1.4e+10","2.0e+00"," 1.6e-01",""
"month","  1","1.4e+10","1.4e+10","2.1e+00"," 1.5e-01",""
"day","  1","4.2e+11","4.2e+11","6.1e+01"," 4.7e-15","***"
