"Attribute","DataType"
"sale_date","Date"
"Revenue_VAT","numeric"
"Quantity","numeric"
"product_type","character"
"Brand","character"
"manufacture_country","character"
"Branch","character"
"City","character"
"Districts","character"
"Regions","character"
"Product_category","character"
"IsHoliday","integer"
"month","numeric"
"year","numeric"
"day","integer"
"day_of_week","numeric"
"day_name","character"
"quarter","integer"
"is_weekend","numeric"
"week_of_year","numeric"
"sales_proxy_week","numeric"
"sales_proxy_month","numeric"
